frame_index,action
505,"[-13.962249755859375, -543.792236328125, 3760.33935546875, -24.66802978515625, -1.244210124015808, 0.0]"
506,"[50.68682861328125, -516.9468994140625, 3735.260498046875, -20.727828979492188, -1.470827341079712, 0.0]"
507,"[102.486083984375, -449.777099609375, 3566.187744140625, -15.373653411865234, -1.227677345275879, 0.0]"
508,"[141.75604248046875, -400.5237121582031, 3530.658203125, -12.089725494384766, -1.4110759496688843, 0.0]"
509,"[212.83880615234375, -344.97900390625, 3541.467529296875, -9.535102844238281, -1.9364410638809204, 0.0]"
510,"[267.3367004394531, -276.44439697265625, 3347.0263671875, -7.697951316833496, -1.8070985078811646, 0.0]"
511,"[295.1393127441406, -247.9947509765625, 3302.29052734375, -7.508362770080566, -1.7943081855773926, 0.0]"
512,"[361.56317138671875, -199.27700805664062, 3276.516357421875, -4.445857048034668, -1.6406844854354858, 0.0]"
513,"[385.37890625, -150.20632934570312, 3054.814208984375, -2.504620313644409, -1.2768479585647583, 0.0]"
514,"[399.9632263183594, -102.14161682128906, 2887.550537109375, -2.8498051166534424, -1.2144653797149658, 0.0]"
515,"[380.90008544921875, -64.74742126464844, 2712.613037109375, -2.588224411010742, -1.3899972438812256, 0.0]"
516,"[360.9613342285156, -31.260934829711914, 2499.947509765625, -0.1986292600631714, -1.1852214336395264, 0.0]"
517,"[351.8348388671875, -17.89794921875, 2487.31298828125, 0.848007321357727, -1.3747197389602661, 0.0]"
518,"[316.12164306640625, -2.206411361694336, 2331.18896484375, 2.385303020477295, -1.4068400859832764, 0.0]"
519,"[288.64697265625, 4.991085529327393, 2251.745361328125, 3.6328790187835693, -1.5318694114685059, 0.0]"
520,"[260.3203125, 13.91433334350586, 2213.892333984375, 4.99112606048584, -1.2489426136016846, 0.0]"
521,"[213.82901000976562, 25.657052993774414, 2145.14306640625, 6.60516357421875, -1.0380877256393433, 0.0]"
522,"[180.17385864257812, 27.98366355895996, 2099.96484375, 7.149521827697754, -1.027610421180725, 0.0]"
523,"[174.65130615234375, 26.17757225036621, 2098.1533203125, 7.206097602844238, -1.0294687747955322, 0.0]"
524,"[130.12503051757812, 32.53069305419922, 2048.572021484375, 9.03828239440918, -1.1870431900024414, 0.0]"
525,"[114.80990600585938, 23.317419052124023, 2031.8486328125, 8.416522979736328, -1.2436062097549438, 0.0]"
526,"[81.80313110351562, 11.084531784057617, 2000.8961181640625, 6.7890119552612305, -1.3796790838241577, 0.0]"
527,"[40.832611083984375, 9.149856567382812, 1968.8253173828125, 6.213901519775391, -1.4690015316009521, 0.0]"
528,"[-1.34051513671875, -17.866819381713867, 1946.6044921875, 2.513678550720215, -1.4879658222198486, 0.0]"
529,"[-17.763702392578125, -21.97273826599121, 1922.242919921875, 1.2679510116577148, -1.3327394723892212, 0.0]"
530,"[-34.738555908203125, -32.773006439208984, 1910.150634765625, -0.851082444190979, -1.3389811515808105, 0.0]"
531,"[-77.15322875976562, -31.6186580657959, 1926.066162109375, -1.1248774528503418, -1.1551510095596313, 0.0]"
532,"[-85.21273803710938, -32.18707275390625, 1925.5489501953125, -1.5959653854370117, -0.9192044138908386, 0.0]"
533,"[-85.23550415039062, -36.39887619018555, 1918.0423583984375, -1.726097822189331, -1.0448150634765625, 0.0]"
534,"[-100.76339721679688, -29.770029067993164, 1933.357666015625, -1.9700994491577148, -0.7732664346694946, 0.0]"
535,"[-108.21975708007812, -27.81179428100586, 1947.012451171875, -1.937150478363037, -0.8099098801612854, 0.0]"
536,"[-114.22476196289062, -14.01083755493164, 1963.537353515625, -1.2466645240783691, -0.5047363042831421, 0.0]"
537,"[-115.34567260742188, -17.00465965270996, 1961.52978515625, -1.6976535320281982, -0.46615469455718994, 0.0]"
538,"[-115.19906616210938, -0.30115389823913574, 1979.5657958984375, -0.6451966762542725, -0.38088274002075195, 0.0]"
539,"[-111.80654907226562, -13.698667526245117, 1976.3358154296875, -1.067241907119751, -0.13657096028327942, 0.0]"
540,"[-117.45370483398438, 0.8819513320922852, 1984.509033203125, 0.040445566177368164, -0.2663809061050415, 0.0]"
541,"[-120.17636108398438, 1.400232195854187, 1992.95361328125, -0.007914066314697266, -0.18146216869354248, 0.0]"
542,"[-115.08792114257812, 0.028714418411254883, 2006.962890625, 0.7007178068161011, -0.3298425078392029, 0.0]"
543,"[-119.17074584960938, 17.203475952148438, 2015.5113525390625, 1.4028531312942505, -0.22305551171302795, 0.0]"
544,"[-114.32321166992188, 44.92000961303711, 2031.65185546875, 2.895843505859375, -0.3089522123336792, 0.0]"
545,"[-115.00338745117188, 37.00950622558594, 2028.0994873046875, 2.364746570587158, -0.28819355368614197, 0.0]"
546,"[-111.27310180664062, 49.94618606567383, 2027.1409912109375, 2.6979024410247803, -0.41750848293304443, 0.0]"
547,"[-113.75534057617188, 60.404296875, 2044.166015625, 3.265388011932373, -0.4049954414367676, 0.0]"
